Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
12/31/15 2:27,12/31/15 5:22,Store/Commercial,11385,RIDGEWOOD,QUEENS,40.70405345,-73.90977549
12/31/15 2:27,12/31/15 6:38,Residential Building/House,10457,BRONX,BRONX,40.84275461,-73.89505109
12/31/15 2:28,12/31/15 4:11,Residential Building/House,11417,OZONE PARK,QUEENS,40.67779522,-73.83230164
12/31/15 2:29,12/31/15 4:09,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.65535593,-73.95106436
12/31/15 2:30,12/31/15 4:34,Residential Building/House,11210,BROOKLYN,BROOKLYN,40.63355435,-73.93999795
12/31/15 2:31,12/31/15 12:22,Residential Building/House,10471,BRONX,BRONX,40.89639579,-73.89680027
12/31/15 2:34,12/31/15 4:13,Residential Building/House,10016,NEW YORK,MANHATTAN,40.74429047,-73.98638742
12/31/15 2:39,12/31/15 4:14,Residential Building/House,10461,BRONX,BRONX,40.84657157,-73.82982678
12/31/15 2:46,12/31/15 6:07,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND,40.61699491,-74.15637229
12/31/15 2:47,12/31/15 3:23,Residential Building/House,11232,BROOKLYN,BROOKLYN,40.64414291,-73.99813342
12/31/15 2:49,12/31/15 4:00,Club/Bar/Restaurant,11249,BROOKLYN,BROOKLYN,40.71357512,-73.96580748
12/31/15 2:54,12/31/15 15:04,Residential Building/House,10465,BRONX,BRONX,40.83258882,-73.82718845
12/31/15 2:54,12/31/15 4:25,Residential Building/House,10030,NEW YORK,MANHATTAN,40.81937471,-73.94071557
12/31/15 2:58,12/31/15 6:27,Store/Commercial,10028,NEW YORK,MANHATTAN,40.77718339,-73.9541558
12/31/15 2:59,12/31/15 4:59,Residential Building/House,10301,STATEN ISLAND,STATEN ISLAND,40.63772503,-74.08780723
12/31/15 3:00,12/31/15 6:34,Residential Building/House,10458,BRONX,BRONX,40.86332962,-73.8899138
12/31/15 3:02,12/31/15 4:14,Residential Building/House,10461,BRONX,BRONX,40.84657157,-73.82982678
12/31/15 3:04,12/31/15 6:34,Residential Building/House,10467,BRONX,BRONX,40.87711663,-73.87419003
12/31/15 3:10,12/31/15 3:42,Street/Sidewalk,10033,NEW YORK,MANHATTAN,40.8468522,-73.93589475
12/31/15 3:11,12/31/15 4:36,Residential Building/House,10040,NEW YORK,MANHATTAN,40.86221618,-73.92969425
12/31/15 3:16,12/31/15 3:58,Store/Commercial,10009,NEW YORK,MANHATTAN,40.72553423,-73.97780461
12/31/15 3:18,12/31/15 4:35,Residential Building/House,10033,NEW YORK,MANHATTAN,40.85023581,-73.93986032
12/31/15 3:19,12/31/15 16:27,Residential Building/House,11218,BROOKLYN,BROOKLYN,40.63443053,-73.96935006
12/31/15 3:23,12/31/15 5:31,Residential Building/House,10029,NEW YORK,MANHATTAN,40.79078867,-73.94689841
12/31/15 3:26,12/31/15 4:35,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86919848,-73.91698878
12/31/15 3:26,12/31/15 6:25,Residential Building/House,11372,JACKSON HEIGHTS,QUEENS,40.74909956,-73.887024
12/31/15 3:40,12/31/15 10:52,Club/Bar/Restaurant,10459,BRONX,BRONX,40.82210831,-73.90061166
12/31/15 3:47,12/31/15 4:51,Residential Building/House,10040,NEW YORK,MANHATTAN,40.8554683,-73.93674679
12/31/15 3:47,12/31/15 5:56,Residential Building/House,11238,BROOKLYN,BROOKLYN,40.68900997,-73.95895452
12/31/15 3:59,12/31/15 8:12,Residential Building/House,10012,NEW YORK,MANHATTAN,40.7290277,-73.99915211
12/31/15 4:09,12/31/15 9:15,Residential Building/House,10451,BRONX,BRONX,40.82160438,-73.91210189
12/31/15 4:45,12/31/15 9:39,Residential Building/House,10459,BRONX,BRONX,40.82235757,-73.89387649
12/31/15 4:45,12/31/15 6:07,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND,40.61699491,-74.15637229
12/31/15 5:17,12/31/15 5:33,Residential Building/House,11435,JAMAICA,QUEENS,40.70823262,-73.81478929
